DATE,MFG_GVA,MFG_IIP,WPI,BANK_CREDIT,REER,EXPORTS,GOVT_CAPEX
2008 Q2,20.9,10.3,8.91,32.02,-7.01,55.85,8.919
2008 Q3,18.9,7.99,11.08,34.54,-9.64,39.58,10.316
2008 Q4,10.66,1.09,8.7,32.86,-8.99,-8.58,9.387
2009 Q1,-1.49,-7.73,3.72,22.84,-5.81,-19.78,12.529
2009 Q2,1.84,-3.79,0.71,19.66,0.12,-32.14,10.461
2009 Q3,6.84,1.99,0.53,16.28,4.08,-18.75,10.103
2009 Q4,14.54,5.8,4.6,15.69,8.72,19.6,10.8
2010 Q1,28.16,15.57,9.39,24.38,13.28,34.78,13.057
2010 Q2,18.46,10.24,10.66,29.18,15.38,46.58,13.143
2010 Q3,13.63,7.23,9.4,24.38,12.4,26.02,12.676
2010 Q4,15.96,9.32,8.87,31.62,9.24,38.1,8.344
2011 Q1,17.29,8.98,9.46,22.35,3.81,47.05,17.842
2011 Q2,21.05,7.64,9.67,21.26,-0.58,37.27,12.955
2011 Q3,15.45,3.12,9.7,21.62,-0.33,45,12.17
2011 Q4,13.81,1.21,8.9,18.36,-7.85,13.18,12.32
2012 Q1,11.75,0.67,7.46,20.74,-5.64,4.42,11.878
2012 Q2,6.81,0.42,7.76,20.61,-7.94,-3.28,11.843
2012 Q3,18.89,1.83,7.63,16.98,-6.95,-8.98,11.55
2012 Q4,12.9,2.59,6.45,15.19,0.55,0.56,12.84
2013 Q1,8.48,0.11,6.06,15.12,0.48,4.77,11.76
2013 Q2,10.25,2.29,3.87,13.88,3.54,0.01,13.314
2013 Q3,6.23,4.9,5.42,17.38,-4.36,12.57,10.288
2013 Q4,10.25,3.15,6.28,13.38,-4.45,6.93,15.977
2014 Q1,8.97,4.07,5.11,12.84,-6.02,0.04,7.995
2014 Q2,14.12,4.91,5.19,10.23,-1.28,8.8,11.917
2014 Q3,11.59,3.64,3.51,5.93,7.68,1.24,10.774
2014 Q4,4.54,3.73,-0.2,7.14,7.51,0.24,10.751
2015 Q1,8.05,2.67,-3.2,5.61,11.75,-13.82,11.763
2015 Q2,13.01,1.39,-3.08,4.81,6.49,-16.49,14.261
2015 Q3,11.81,1.31,-5.49,4.88,5.5,-17.76,13.901
2015 Q4,16.1,3.81,-3.66,4.93,5.2,-19.66,14.728
2016 Q1,15.91,4.94,-2.28,2.75,0.16,-7.4,9.731
2016 Q2,9.12,6.53,-0.69,0.64,1.01,-1.87,11.023
2016 Q3,7.99,5.74,1.09,0.87,2,-0.87,15.532
2016 Q4,9.21,3.12,1.7,-4.31,2.2,5.7,11.097
2017 Q1,8.56,2.05,4.86,-1.86,4.24,17.35,19.859
2017 Q2,2.88,1.71,2.29,-1.07,6.88,8.31,12.498
2017 Q3,11.3,2.66,2.89,-0.44,4.28,12.37,13.985
2017 Q4,12.11,6.68,3.74,2.13,3.06,14.62,16.66
2018 Q1,13.38,7.51,2.7,0.73,-0.25,5.68,4.204
2018 Q2,15.78,5.34,4.66,0.89,-5.01,14.68,14.907
2018 Q3,10.7,5.74,5.2,2.32,-5.15,9.97,11.381
2018 Q4,9.12,3.13,4.44,4.37,-6.78,4.85,10.008
2019 Q1,4.16,1.36,2.83,5.12,-3.24,6,17.592
2019 Q2,0.74,2.42,2.7,5.24,1.71,-1.5,10.467
2019 Q3,-4.47,-0.19,1.03,1.08,3.15,-3.97,15.262
2019 Q4,-5.29,-1.33,1.1,3.6,5.13,-1.29,11.426
2020 Q1,-5.75,-5.75,2.03,3.85,3.53,-11.8,12.165
2020 Q2,-31.37,-40.65,-2.36,4.72,-0.66,-36.41,12.151
2020 Q3,7.85,-6.21,0.55,3.69,-0.47,-5.11,11.269
2020 Q4,14.07,1.7,1.83,-0.89,-0.18,-3.91,17.672
2021 Q1,23.86,6.46,5.06,-0.21,-1.13,18.08,8.742
2021 Q2,64.59,53.86,11.93,1.05,0.26,85.19,14.322
2021 Q3,16.89,8.64,11.71,3.79,0.82,38.91,14.405
2021 Q4,11.82,1.39,14.35,9.37,0.61,41.61,18.049
2022 Q1,9.11,1.45,13.91,8.18,1.48,28.65,15.808
2022 Q2,13.83,12.32,16.06,9.08,2.71,26.3,18.791
2022 Q3,0.19,1.51,12.34,11.48,1.14,8.43,18.697
2022 Q4,0.21,1.48,6.62,7.76,-0.53,-1.53,15.122
2023 Q1,3.48,4.15,3.34,5.83,-3.22,-2.15,18.482
2023 Q2,8.02,4.81,-2.83,7.44,-2.96,-14.49,26.096
2023 Q3,18,6.75,-0.61,6.51,0.32,-2.53,19.099
2023 Q4,13.18,5.55,0.35,8.89,1,1.15,20.095
2024 Q1,5.12,4.71,0.26,9.39,4.36,4.53,20.397
2024 Q2,7.5,4.3,2.45,9.14,4.01,9.69,18.627
2024 Q3,3.67,3.24,1.71,9.96,0.77,-6.82,19.526
2024 Q4,9.86,4.7,2.5,7.48,3.03,3.21,24.24
2025 Q1,11.74,4.04,2.39,8.24,-0.4,-4.79,27.537
2025 Q2,10.02,3.35,0.33,6.34,-3.18,-2.15,21.962
2025 Q3,13.08,5.11,0.02,7.79,-5.82,8.37,26.827
2025 Q4,13.04,6.26,-0.06,12.77,-9.05,1.66,19.976
